platform,item_id,product_name_clean,category_derived,price,original_price,discount_pct,sold_final,sold_source,rating_avg,review_count,has_ratings,is_suspicious,is_authentic,seller_name,url,image_url
Lazada,15554186111,HGHMNDS ONLINE - MIDDLE HITTER SHIRT,T-Shirt,818.12,44.0,-1759.4,8,sold_lifetime,,1,True,False,True,,https://www.lazada.com.ph/products/pdp-i15554186111.html,https://img.lazcdn.com/g/p/a9e91654c2443dea9312ee206b665370.jpg_200x200q80.jpg
Lazada,5134881948,HGHMNDS CLO. - All Eyes Shorts,Bottoms,721.87,44.0,-1540.6,81,sold_lifetime,,35,True,False,True,,https://www.lazada.com.ph/products/pdp-i5134881948.html,https://img.lazcdn.com/g/p/e86c2e313af01dba925ce37ac6e9bee2.jpg_200x200q80.jpg
Lazada,15466230648,HIGHMINDS CLOTHING V4 INSPIRED OVERSIZED TSHIRT DESIGN Men's Tops - T-shirts Menswear Print .c,T-Shirt,192.03,6565.0,97.1,0,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i15466230648.html,https://img.lazcdn.com/g/p/06f3fd96eeb040180db1f0a4952013ea.jpg_200x200q80.jpg
Lazada,5141350601,HIGHMINDS INSPIRED V1 OVERSIZED SHIRTS Menswear Top,T-Shirt,192.03,6262.0,96.9,9,sold_lifetime,,2,True,True,True,,https://www.lazada.com.ph/products/pdp-i5141350601.html,https://img.lazcdn.com/g/p/4df0e1c911d0e848e5094240d85b6819.jpg_200x200q80.jpg
Lazada,5392760636,HGHMNDS CLO. - KALM KORNER t shirt,T-Shirt,192.03,6868.0,97.2,0,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i5392760636.html,https://img.lazcdn.com/g/p/6bd27f05167bb73deb37b479f9be26b0.jpg_200x200q80.jpg
Lazada,3377867713,HGHMNDS ONLINE - PRESTIGE SHIRT,T-Shirt,721.87,44.0,-1540.6,1100,sold_lifetime,,337,True,False,True,,https://www.lazada.com.ph/products/pdp-i3377867713.html,https://img.lazcdn.com/g/p/7d8ccc9ca70242ff4884591eb184cb6f.jpg_200x200q80.jpg
Lazada,5120939019,HGHMNDS CLO. - MANIFEST .2025,T-Shirt,199.75,6767.0,97.0,19,sold_lifetime,,5,True,True,True,,https://www.lazada.com.ph/products/pdp-i5120939019.html,https://img.lazcdn.com/g/p/fb0065619cfa2074f3e8e12ef6a7695c.jpg_200x200q80.jpg
Lazada,15389465328,HIGHMINDS CLOTHING V7 INSPIRED OVERSIZED TSHIRT DESIGN Men's Tops - T-shirts Menswear Print .C,T-Shirt,192.03,7777.0,97.5,0,sold_lifetime,,2,True,True,True,,https://www.lazada.com.ph/products/pdp-i15389465328.html,https://img.lazcdn.com/g/p/d32dda1ac467f222dde221d27e74bb9a.jpg_200x200q80.jpg
Lazada,4468867338,HGHMNDS CLO. - Wave Wanderer Shirt,T-Shirt,199.75,7878.0,97.5,23,sold_lifetime,,4,True,True,True,,https://www.lazada.com.ph/products/pdp-i4468867338.html,https://img.lazcdn.com/g/p/5e095d0e5eb51720e8a5cdb00aa92f34.jpg_200x200q80.jpg
Lazada,4638741776,HGHMNDS CLO. - Vessel,T-Shirt,199.75,7373.0,97.3,0,sold_lifetime,,0,False,True,True,,https://www.lazada.com.ph/products/pdp-i4638741776.html,https://img.lazcdn.com/g/p/1c035512acfc00d256125e1ba822a32d.jpg_200x200q80.jpg
Lazada,4645240485,HGHMNDS CLO. - Go North,T-Shirt,577.5,2323.0,75.1,176,sold_lifetime,,70,True,False,True,,https://www.lazada.com.ph/products/pdp-i4645240485.html,https://img.lazcdn.com/g/p/a86909b43a4b9616a12ef1bac162c222.jpg_200x200q80.jpg
Lazada,5141470804,HGHMNDS ONLINE - DECLINE SHIRT,T-Shirt,192.03,6262.0,96.9,36,sold_lifetime,,20,True,True,True,,https://www.lazada.com.ph/products/pdp-i5141470804.html,https://img.lazcdn.com/g/p/b809953ccbab935c1af93b18e32dec74.jpg_200x200q80.jpg
Lazada,3495077605,HGHMNDS - HEART MOLD,T-Shirt,721.87,1010.0,28.5,1200,sold_lifetime,,331,True,False,True,,https://www.lazada.com.ph/products/pdp-i3495077605.html,https://img.lazcdn.com/g/p/b4f3b3d68d87625611636d0c2803778c.png_200x200q80.png
Lazada,2729050118,HGHMNDS - SPIRIT FOREVER,T-Shirt,625.62,2222.0,71.8,1500,sold_lifetime,,363,True,False,True,,https://www.lazada.com.ph/products/pdp-i2729050118.html,https://img.lazcdn.com/g/p/a94988d584d525f35d6fe124f7f8e068.png_200x200q80.png
Lazada,15389371957,HIGHMINDS CLOTHING V2 INSPIRED OVERSIZED TSHIRT DESIGN Men's Tops - T-shirts Menswear Print .C,T-Shirt,192.03,7777.0,97.5,13,sold_lifetime,,4,True,True,True,,https://www.lazada.com.ph/products/pdp-i15389371957.html,https://img.lazcdn.com/g/p/38a7bc30ca215372ce4170b357097b4b.jpg_200x200q80.jpg
Lazada,15389414488,HIGHMINDS CLOTHING V5 INSPIRED OVERSIZED TSHIRT DESIGN Men's Tops - T-shirts Menswear Print .C,T-Shirt,192.03,7777.0,97.5,7,sold_lifetime,,1,True,True,True,,https://www.lazada.com.ph/products/pdp-i15389414488.html,https://img.lazcdn.com/g/p/5f7c01ea03d68dc715473ae0ba88087f.jpg_200x200q80.jpg
